|quincena|total_pagado|pago_anterior|variacion_porcentual|
|--------|------------|-------------|--------------------|
|1       |7.150       |0            |0                   |
|2       |7.150       |7.150        |0                   |
|3       |7.150       |7.150        |0                   |
|4       |7.150       |7.150        |0                   |
|5       |7.150       |7.150        |0                   |
|6       |29.250      |7.150        |309,0909090909      |
|7       |29.250      |29.250       |0                   |
|8       |29.250      |29.250       |0                   |
|9       |29.250      |29.250       |0                   |
|10      |29.250      |29.250       |0                   |
|11      |36.450      |29.250       |24,6153846154       |
|12      |36.450      |36.450       |0                   |
|13      |36.450      |36.450       |0                   |
|14      |36.450      |36.450       |0                   |
|15      |36.450      |36.450       |0                   |
|16      |29.350      |36.450       |-19,4787379973      |
|17      |29.350      |29.350       |0                   |
|18      |29.350      |29.350       |0                   |
|19      |29.350      |29.350       |0                   |
|20      |29.350      |29.350       |0                   |
|21      |26.200      |29.350       |-10,7325383305      |
|22      |26.200      |26.200       |0                   |
|23      |26.200      |26.200       |0                   |
|24      |26.200      |26.200       |0                   |
|25      |26.200      |26.200       |0                   |
